Decision Name,Current Owner,Decision Frequency,Decision ID,Decision Question,Decision Scope,Decision Type,Failure Mode Shape,How Painful it is if this is wrong,Notes,Observed Behavior / Evidence,Source Case(s),Where This Happens
,,,,,,,,,,,,
IS_THIS_A_PAST_CLIENT_CASE,Growth Lead,Medium = 1 out 5 SR,D1,Is this sourcing request (SR) for a repeat client case where prior preferences/constraints can be assumed?,Segment-specific,Context inference,Silent degradation,This only happens for client like Raj (back to school item),,"We did the same sourcing request for them like two years ago… we know estimated what kind of designs they want.
Target price and quantity is by us.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, SR intake"
SHOULD_WE_AVOID_LICENSED_IP_CARTOONS,Growth Lead,High = Every SR,D4,"For cartoon-themed products, should licensed IP designs be excluded to avoid infringement or import issues?",Global,Risk guardrail,Binary catastrophic,"Sometimes it’s hard to get not IP products, as those products they dont have so many different varieties.",,"We ban licensed cartoon like Disney.
They say they can't import it.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),"SR intake, Suppliers search"
SHOULD_WE_PROCEED_WITH_VAGUE_REQUIREMENTS,Growth Lead,Medium = 1 out 5 SR,D2,"When the SR lacks clear specs, do we proceed by sourcing recommendations, or do we block until the client provides more detail?",Global,Gating / readiness,Costly rework,"We can still provide initial quotation first, as some client might get insights after looking at the first quotation",,The sourcing request is very bad… they didn't give any specific specs… it just asked us to give the recommendations.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, SR intake"
WHICH_THEME_KEYWORDS_TO_USE_FOR_SEARCH,Growth Lead,Low = 1 out 10 SR,D5,"When requirements are vague, which themes or styles should be used to shape initial search keywords?",Case-specific,Search shaping,Silent degradation,"If we don’t have past orders as reference, we can provide as many patterns as possible to give client reference first.",,Cartoons… not licensed… astronaut… animals… based on past experience.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Requirement clarification, Suppliers search"
WHAT_MINIMUM_INPUTS_ARE_REQUIRED_TO_SOURCE,Growth Lead,Medium = 1 out 5 SR,D3,What minimum client inputs are required to start supplier search?,Global,Gating / readiness,Latency increase,"We can already start sourcing even with a product type, just it’s hard to avoid requotation if client did not provide details.",,You need to provide the product… quantity… target price… reference image… otherwise it's hard for us to help them.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Requirement clarification
WHICH_SUPPLIERS_ARE_CATEGORY_FOCUSED_ENOUGH,Growth Lead,High = Every SR,D7,Should we only work with suppliers focused on the target category?,Global,Partner qualification,Costly rework,"We need to always look for suppliers that are specifically selling the target category, to ensure they are professional enough.",,We check if they are only selling bags.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),"Initial quotation, Supplier evaluation"
MANUFACTURER_OR_RESELLER_PREFERENCE,Growth Lead,High = Every SR,D8,Should manufacturers be preferred over small retail resellers?,Global,Partner qualification,Trust erosion,"Manufacturer can do more customization method than reseller, also their price will be much lower.",,We prefer to work with manufacturers.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
IS_FACTORY_ENVIRONMENT_ACCEPTABLE,Growth Lead,Medium = 1 out 5 SR,D9,Should factory environment be evaluated via supplier profile to assess quality risk?,Global,Partner qualification,Trust erosion,"Sometimes supplier doesn’t upload their environment images, we can only judge when doing QC.",,We look at factory environment pictures to judge quality.,BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
IS_SUPPLIER_RESPONSIVE_ENOUGH,Growth Lead,High = Every SR,D10,Is supplier responsiveness sufficient to proceed?,Global,Partner qualification,Latency increase,"Only deal with responsive supplier, to avoid MIA when issues happened.",,"If they are not responsive, it's very hard when problems arise.",BTDT / Hui Syuen / Lord Working Session (2026-01-21),Supplier evaluation
